"blastomere","k_null","blast"
"B1",365,"Blastomere A"
"B1",365,"Blastomere A"
"B1",376,"Blastomere A"
"B1",374,"Blastomere A"
"B1",370,"Blastomere A"
"B1",380,"Blastomere A"
"B1",361,"Blastomere A"
"B1",354,"Blastomere A"
"B1",382,"Blastomere A"
"B1",360,"Blastomere A"
"B1",364,"Blastomere A"
"B1",359,"Blastomere A"
"B1",362,"Blastomere A"
"B1",371,"Blastomere A"
"B1",375,"Blastomere A"
"B1",374,"Blastomere A"
"B1",369,"Blastomere A"
"B1",378,"Blastomere A"
"B1",364,"Blastomere A"
"B1",363,"Blastomere A"
"B1",365,"Blastomere A"
"B1",370,"Blastomere A"
"B1",373,"Blastomere A"
"B1",372,"Blastomere A"
"B1",361,"Blastomere A"
"B1",365,"Blastomere A"
"B1",361,"Blastomere A"
"B1",366,"Blastomere A"
"B1",371,"Blastomere A"
"B1",368,"Blastomere A"
"B1",368,"Blastomere A"
"B1",363,"Blastomere A"
"B1",364,"Blastomere A"
"B1",373,"Blastomere A"
"B1",364,"Blastomere A"
"B1",367,"Blastomere A"
"B1",370,"Blastomere A"
"B1",364,"Blastomere A"
"B1",374,"Blastomere A"
"B1",367,"Blastomere A"
"B1",372,"Blastomere A"
"B1",373,"Blastomere A"
"B1",376,"Blastomere A"
"B1",362,"Blastomere A"
"B1",356,"Blastomere A"
"B1",359,"Blastomere A"
"B1",372,"Blastomere A"
"B1",375,"Blastomere A"
"B1",371,"Blastomere A"
"B1",373,"Blastomere A"
"B1",360,"Blastomere A"
"B1",372,"Blastomere A"
"B1",368,"Blastomere A"
"B1",372,"Blastomere A"
"B1",377,"Blastomere A"
"B1",355,"Blastomere A"
"B1",369,"Blastomere A"
"B1",363,"Blastomere A"
"B1",366,"Blastomere A"
"B1",360,"Blastomere A"
"B1",378,"Blastomere A"
"B1",376,"Blastomere A"
"B1",366,"Blastomere A"
"B1",362,"Blastomere A"
"B1",350,"Blastomere A"
"B1",357,"Blastomere A"
"B1",364,"Blastomere A"
"B1",358,"Blastomere A"
"B1",366,"Blastomere A"
"B1",370,"Blastomere A"
"B1",366,"Blastomere A"
"B1",372,"Blastomere A"
"B1",360,"Blastomere A"
"B1",362,"Blastomere A"
"B1",374,"Blastomere A"
"B1",354,"Blastomere A"
"B1",369,"Blastomere A"
"B1",361,"Blastomere A"
"B1",364,"Blastomere A"
"B1",360,"Blastomere A"
"B1",379,"Blastomere A"
"B1",360,"Blastomere A"
"B1",375,"Blastomere A"
"B1",369,"Blastomere A"
"B1",379,"Blastomere A"
"B1",376,"Blastomere A"
"B1",369,"Blastomere A"
"B1",358,"Blastomere A"
"B1",366,"Blastomere A"
"B1",369,"Blastomere A"
"B1",369,"Blastomere A"
"B1",377,"Blastomere A"
"B1",365,"Blastomere A"
"B1",367,"Blastomere A"
"B1",372,"Blastomere A"
"B1",371,"Blastomere A"
"B1",370,"Blastomere A"
"B1",372,"Blastomere A"
"B1",369,"Blastomere A"
"B1",376,"Blastomere A"
"B1",361,"Blastomere A"
"B1",369,"Blastomere A"
"B1",375,"Blastomere A"
"B1",366,"Blastomere A"
"B1",364,"Blastomere A"
"B1",377,"Blastomere A"
"B1",369,"Blastomere A"
"B1",358,"Blastomere A"
"B1",369,"Blastomere A"
"B1",371,"Blastomere A"
"B1",372,"Blastomere A"
"B1",375,"Blastomere A"
"B1",353,"Blastomere A"
"B1",368,"Blastomere A"
"B1",362,"Blastomere A"
"B1",356,"Blastomere A"
"B1",368,"Blastomere A"
"B1",359,"Blastomere A"
"B1",370,"Blastomere A"
"B1",366,"Blastomere A"
"B1",359,"Blastomere A"
"B1",377,"Blastomere A"
"B1",376,"Blastomere A"
"B1",368,"Blastomere A"
"B1",372,"Blastomere A"
"B1",366,"Blastomere A"
"B1",368,"Blastomere A"
"B1",351,"Blastomere A"
"B1",372,"Blastomere A"
"B1",349,"Blastomere A"
"B1",376,"Blastomere A"
"B1",383,"Blastomere A"
"B1",383,"Blastomere A"
"B1",363,"Blastomere A"
"B1",369,"Blastomere A"
"B1",375,"Blastomere A"
"B1",368,"Blastomere A"
"B1",357,"Blastomere A"
"B1",385,"Blastomere A"
"B1",379,"Blastomere A"
"B1",370,"Blastomere A"
"B1",365,"Blastomere A"
"B1",357,"Blastomere A"
"B1",368,"Blastomere A"
"B1",363,"Blastomere A"
"B1",373,"Blastomere A"
"B1",373,"Blastomere A"
"B1",368,"Blastomere A"
"B1",374,"Blastomere A"
"B1",375,"Blastomere A"
"B1",382,"Blastomere A"
"B1",361,"Blastomere A"
"B1",377,"Blastomere A"
"B1",370,"Blastomere A"
"B1",371,"Blastomere A"
"B1",378,"Blastomere A"
"B1",374,"Blastomere A"
"B1",362,"Blastomere A"
"B1",363,"Blastomere A"
"B1",364,"Blastomere A"
"B1",373,"Blastomere A"
"B1",381,"Blastomere A"
"B1",369,"Blastomere A"
"B1",362,"Blastomere A"
"B1",359,"Blastomere A"
"B1",385,"Blastomere A"
"B1",360,"Blastomere A"
"B1",376,"Blastomere A"
"B1",369,"Blastomere A"
"B1",374,"Blastomere A"
"B1",366,"Blastomere A"
"B1",368,"Blastomere A"
"B1",358,"Blastomere A"
"B1",366,"Blastomere A"
"B1",367,"Blastomere A"
"B1",373,"Blastomere A"
"B1",362,"Blastomere A"
"B1",366,"Blastomere A"
"B1",371,"Blastomere A"
"B1",357,"Blastomere A"
"B1",375,"Blastomere A"
"B1",371,"Blastomere A"
"B1",373,"Blastomere A"
"B1",391,"Blastomere A"
"B1",366,"Blastomere A"
"B1",371,"Blastomere A"
"B1",367,"Blastomere A"
"B1",370,"Blastomere A"
"B1",374,"Blastomere A"
"B1",352,"Blastomere A"
"B1",377,"Blastomere A"
"B1",362,"Blastomere A"
"B1",365,"Blastomere A"
"B1",371,"Blastomere A"
"B1",363,"Blastomere A"
"B1",387,"Blastomere A"
"B1",383,"Blastomere A"
"B1",365,"Blastomere A"
"B1",379,"Blastomere A"
"B1",373,"Blastomere A"
"B1",360,"Blastomere A"
"B1",374,"Blastomere A"
"B1",359,"Blastomere A"
"B1",366,"Blastomere A"
"B1",365,"Blastomere A"
"B1",355,"Blastomere A"
"B1",375,"Blastomere A"
"B1",361,"Blastomere A"
"B1",379,"Blastomere A"
"B1",362,"Blastomere A"
"B1",364,"Blastomere A"
"B1",376,"Blastomere A"
"B1",370,"Blastomere A"
"B1",376,"Blastomere A"
"B1",352,"Blastomere A"
"B1",376,"Blastomere A"
"B1",358,"Blastomere A"
"B1",375,"Blastomere A"
"B1",362,"Blastomere A"
"B1",365,"Blastomere A"
"B1",358,"Blastomere A"
"B1",380,"Blastomere A"
"B1",373,"Blastomere A"
"B1",364,"Blastomere A"
"B1",371,"Blastomere A"
"B1",357,"Blastomere A"
"B1",378,"Blastomere A"
"B1",364,"Blastomere A"
"B1",372,"Blastomere A"
"B1",369,"Blastomere A"
"B1",367,"Blastomere A"
"B1",382,"Blastomere A"
"B1",380,"Blastomere A"
"B1",376,"Blastomere A"
"B1",371,"Blastomere A"
"B1",369,"Blastomere A"
"B1",361,"Blastomere A"
"B1",378,"Blastomere A"
"B1",365,"Blastomere A"
"B1",365,"Blastomere A"
"B1",373,"Blastomere A"
"B1",367,"Blastomere A"
"B1",373,"Blastomere A"
"B1",381,"Blastomere A"
"B1",365,"Blastomere A"
"B1",348,"Blastomere A"
"B1",389,"Blastomere A"
"B1",383,"Blastomere A"
"B1",383,"Blastomere A"
"B1",368,"Blastomere A"
"B1",364,"Blastomere A"
"B1",373,"Blastomere A"
"B1",372,"Blastomere A"
"B1",365,"Blastomere A"
"B1",382,"Blastomere A"
"B1",357,"Blastomere A"
"B1",374,"Blastomere A"
"B1",364,"Blastomere A"
"B1",372,"Blastomere A"
"B1",367,"Blastomere A"
"B1",364,"Blastomere A"
"B1",362,"Blastomere A"
"B1",363,"Blastomere A"
"B1",372,"Blastomere A"
"B1",379,"Blastomere A"
"B1",369,"Blastomere A"
"B1",363,"Blastomere A"
"B1",362,"Blastomere A"
"B1",363,"Blastomere A"
"B1",361,"Blastomere A"
"B1",352,"Blastomere A"
"B1",377,"Blastomere A"
"B1",375,"Blastomere A"
"B1",363,"Blastomere A"
"B1",361,"Blastomere A"
"B1",368,"Blastomere A"
"B1",356,"Blastomere A"
"B1",375,"Blastomere A"
"B1",377,"Blastomere A"
"B1",376,"Blastomere A"
"B1",358,"Blastomere A"
"B1",370,"Blastomere A"
"B1",369,"Blastomere A"
"B1",358,"Blastomere A"
"B1",377,"Blastomere A"
"B1",376,"Blastomere A"
"B1",376,"Blastomere A"
"B1",376,"Blastomere A"
"B1",357,"Blastomere A"
"B1",368,"Blastomere A"
"B1",371,"Blastomere A"
"B1",374,"Blastomere A"
"B1",372,"Blastomere A"
"B1",360,"Blastomere A"
"B1",359,"Blastomere A"
"B1",363,"Blastomere A"
"B1",375,"Blastomere A"
"B1",372,"Blastomere A"
"B1",366,"Blastomere A"
"B1",373,"Blastomere A"
"B1",371,"Blastomere A"
"B1",368,"Blastomere A"
"B1",362,"Blastomere A"
"B1",364,"Blastomere A"
"B1",364,"Blastomere A"
"B1",378,"Blastomere A"
"B1",381,"Blastomere A"
"B1",375,"Blastomere A"
"B1",364,"Blastomere A"
"B1",366,"Blastomere A"
"B1",366,"Blastomere A"
"B1",360,"Blastomere A"
"B1",372,"Blastomere A"
"B1",368,"Blastomere A"
"B1",379,"Blastomere A"
"B1",378,"Blastomere A"
"B1",353,"Blastomere A"
"B1",368,"Blastomere A"
"B1",369,"Blastomere A"
"B1",375,"Blastomere A"
"B1",371,"Blastomere A"
"B1",361,"Blastomere A"
"B1",367,"Blastomere A"
"B1",363,"Blastomere A"
"B1",368,"Blastomere A"
"B1",367,"Blastomere A"
"B1",357,"Blastomere A"
"B1",371,"Blastomere A"
"B1",375,"Blastomere A"
"B1",368,"Blastomere A"
"B1",360,"Blastomere A"
"B1",360,"Blastomere A"
"B1",369,"Blastomere A"
"B1",363,"Blastomere A"
"B1",367,"Blastomere A"
"B1",367,"Blastomere A"
"B1",362,"Blastomere A"
"B1",379,"Blastomere A"
"B1",368,"Blastomere A"
"B1",367,"Blastomere A"
"B1",369,"Blastomere A"
"B1",374,"Blastomere A"
"B1",379,"Blastomere A"
"B1",379,"Blastomere A"
"B1",363,"Blastomere A"
"B1",358,"Blastomere A"
"B1",371,"Blastomere A"
"B1",360,"Blastomere A"
"B1",374,"Blastomere A"
"B1",376,"Blastomere A"
"B1",368,"Blastomere A"
"B1",386,"Blastomere A"
"B1",364,"Blastomere A"
"B1",370,"Blastomere A"
"B1",354,"Blastomere A"
"B1",360,"Blastomere A"
"B1",363,"Blastomere A"
"B1",385,"Blastomere A"
"B1",380,"Blastomere A"
"B1",354,"Blastomere A"
"B1",367,"Blastomere A"
"B1",370,"Blastomere A"
"B1",352,"Blastomere A"
"B1",369,"Blastomere A"
"B1",400,"Blastomere A"
"B1",370,"Blastomere A"
"B1",370,"Blastomere A"
"B1",378,"Blastomere A"
"B1",379,"Blastomere A"
"B1",358,"Blastomere A"
"B1",376,"Blastomere A"
"B1",364,"Blastomere A"
"B1",364,"Blastomere A"
"B1",379,"Blastomere A"
"B1",354,"Blastomere A"
"B1",369,"Blastomere A"
"B1",375,"Blastomere A"
"B1",385,"Blastomere A"
"B1",379,"Blastomere A"
"B1",379,"Blastomere A"
"B1",364,"Blastomere A"
"B1",369,"Blastomere A"
"B1",376,"Blastomere A"
"B1",354,"Blastomere A"
"B1",375,"Blastomere A"
"B1",365,"Blastomere A"
"B1",373,"Blastomere A"
"B1",364,"Blastomere A"
"B1",353,"Blastomere A"
"B1",370,"Blastomere A"
"B1",379,"Blastomere A"
"B1",363,"Blastomere A"
"B1",357,"Blastomere A"
"B1",360,"Blastomere A"
"B1",364,"Blastomere A"
"B1",363,"Blastomere A"
"B1",371,"Blastomere A"
"B1",364,"Blastomere A"
"B1",373,"Blastomere A"
"B1",361,"Blastomere A"
"B1",369,"Blastomere A"
"B1",370,"Blastomere A"
"B1",343,"Blastomere A"
"B1",368,"Blastomere A"
"B1",373,"Blastomere A"
"B1",378,"Blastomere A"
"B1",376,"Blastomere A"
"B1",372,"Blastomere A"
"B1",389,"Blastomere A"
"B1",363,"Blastomere A"
"B1",368,"Blastomere A"
"B1",365,"Blastomere A"
"B1",359,"Blastomere A"
"B1",380,"Blastomere A"
"B1",365,"Blastomere A"
"B1",386,"Blastomere A"
"B1",373,"Blastomere A"
"B1",367,"Blastomere A"
"B1",369,"Blastomere A"
"B1",387,"Blastomere A"
"B1",369,"Blastomere A"
"B1",373,"Blastomere A"
"B1",371,"Blastomere A"
"B1",378,"Blastomere A"
"B1",365,"Blastomere A"
"B1",377,"Blastomere A"
"B1",364,"Blastomere A"
"B1",368,"Blastomere A"
"B1",373,"Blastomere A"
"B1",358,"Blastomere A"
"B1",377,"Blastomere A"
"B1",351,"Blastomere A"
"B1",365,"Blastomere A"
"B1",362,"Blastomere A"
"B1",364,"Blastomere A"
"B1",364,"Blastomere A"
"B1",372,"Blastomere A"
"B1",377,"Blastomere A"
"B1",383,"Blastomere A"
"B1",373,"Blastomere A"
"B1",358,"Blastomere A"
"B1",361,"Blastomere A"
"B1",367,"Blastomere A"
"B1",368,"Blastomere A"
"B1",367,"Blastomere A"
"B1",379,"Blastomere A"
"B1",373,"Blastomere A"
"B1",366,"Blastomere A"
"B1",364,"Blastomere A"
"B1",369,"Blastomere A"
"B1",360,"Blastomere A"
"B1",376,"Blastomere A"
"B1",371,"Blastomere A"
"B1",385,"Blastomere A"
"B1",366,"Blastomere A"
"B1",362,"Blastomere A"
"B1",351,"Blastomere A"
"B1",362,"Blastomere A"
"B1",377,"Blastomere A"
"B1",362,"Blastomere A"
"B1",374,"Blastomere A"
"B1",363,"Blastomere A"
"B1",367,"Blastomere A"
"B1",367,"Blastomere A"
"B1",361,"Blastomere A"
"B1",368,"Blastomere A"
"B1",369,"Blastomere A"
"B1",367,"Blastomere A"
"B1",374,"Blastomere A"
"B1",378,"Blastomere A"
"B1",379,"Blastomere A"
"B1",367,"Blastomere A"
"B1",367,"Blastomere A"
"B1",365,"Blastomere A"
"B1",365,"Blastomere A"
"B1",378,"Blastomere A"
"B1",377,"Blastomere A"
"B1",370,"Blastomere A"
"B1",376,"Blastomere A"
"B1",363,"Blastomere A"
"B1",357,"Blastomere A"
"B1",380,"Blastomere A"
"B1",384,"Blastomere A"
"B1",366,"Blastomere A"
"B1",375,"Blastomere A"
"B1",362,"Blastomere A"
"B1",377,"Blastomere A"
"B1",382,"Blastomere A"
"B1",364,"Blastomere A"
"B1",376,"Blastomere A"
"B1",369,"Blastomere A"
"B1",378,"Blastomere A"
"B1",370,"Blastomere A"
"B1",362,"Blastomere A"
"B1",368,"Blastomere A"
"B1",376,"Blastomere A"
"B1",377,"Blastomere A"
"B1",352,"Blastomere A"
"B1",368,"Blastomere A"
"B1",381,"Blastomere A"
"B1",365,"Blastomere A"
"B1",353,"Blastomere A"
"B1",370,"Blastomere A"
"B1",373,"Blastomere A"
"B1",357,"Blastomere A"
"B1",361,"Blastomere A"
"B1",364,"Blastomere A"
"B1",356,"Blastomere A"
"B1",358,"Blastomere A"
"B1",363,"Blastomere A"
"B1",356,"Blastomere A"
"B1",375,"Blastomere A"
"B1",376,"Blastomere A"
"B1",381,"Blastomere A"
"B1",362,"Blastomere A"
"B1",365,"Blastomere A"
"B1",360,"Blastomere A"
"B1",367,"Blastomere A"
"B1",361,"Blastomere A"
"B1",361,"Blastomere A"
"B1",361,"Blastomere A"
"B1",375,"Blastomere A"
"B1",367,"Blastomere A"
"B1",374,"Blastomere A"
"B1",382,"Blastomere A"
"B1",378,"Blastomere A"
"B1",367,"Blastomere A"
"B1",372,"Blastomere A"
"B1",366,"Blastomere A"
"B1",361,"Blastomere A"
"B1",380,"Blastomere A"
"B1",365,"Blastomere A"
"B1",370,"Blastomere A"
"B1",369,"Blastomere A"
"B1",371,"Blastomere A"
"B1",371,"Blastomere A"
"B1",364,"Blastomere A"
"B1",378,"Blastomere A"
"B1",370,"Blastomere A"
"B1",367,"Blastomere A"
"B1",375,"Blastomere A"
"B1",368,"Blastomere A"
"B1",375,"Blastomere A"
"B1",379,"Blastomere A"
"B1",374,"Blastomere A"
"B1",365,"Blastomere A"
"B1",367,"Blastomere A"
"B1",369,"Blastomere A"
"B1",363,"Blastomere A"
"B1",366,"Blastomere A"
"B1",378,"Blastomere A"
"B1",375,"Blastomere A"
"B1",375,"Blastomere A"
"B1",360,"Blastomere A"
"B1",369,"Blastomere A"
"B1",373,"Blastomere A"
"B1",356,"Blastomere A"
"B1",361,"Blastomere A"
"B1",374,"Blastomere A"
"B1",376,"Blastomere A"
"B1",376,"Blastomere A"
"B1",370,"Blastomere A"
"B1",363,"Blastomere A"
"B1",363,"Blastomere A"
"B1",363,"Blastomere A"
"B1",381,"Blastomere A"
"B1",364,"Blastomere A"
"B1",364,"Blastomere A"
"B1",365,"Blastomere A"
"B1",373,"Blastomere A"
"B1",393,"Blastomere A"
"B1",388,"Blastomere A"
"B1",371,"Blastomere A"
"B1",367,"Blastomere A"
"B1",369,"Blastomere A"
"B1",367,"Blastomere A"
"B1",364,"Blastomere A"
"B1",379,"Blastomere A"
"B1",364,"Blastomere A"
"B1",377,"Blastomere A"
"B1",377,"Blastomere A"
"B1",365,"Blastomere A"
"B1",364,"Blastomere A"
"B1",364,"Blastomere A"
"B1",383,"Blastomere A"
"B1",362,"Blastomere A"
"B1",368,"Blastomere A"
"B1",375,"Blastomere A"
"B1",356,"Blastomere A"
"B1",372,"Blastomere A"
"B1",352,"Blastomere A"
"B1",374,"Blastomere A"
"B1",381,"Blastomere A"
"B1",382,"Blastomere A"
"B1",369,"Blastomere A"
"B1",358,"Blastomere A"
"B1",376,"Blastomere A"
"B1",366,"Blastomere A"
"B1",366,"Blastomere A"
"B1",369,"Blastomere A"
"B1",363,"Blastomere A"
"B1",373,"Blastomere A"
"B1",360,"Blastomere A"
"B1",372,"Blastomere A"
"B1",375,"Blastomere A"
"B1",372,"Blastomere A"
"B1",372,"Blastomere A"
"B1",373,"Blastomere A"
"B1",375,"Blastomere A"
"B1",358,"Blastomere A"
"B1",388,"Blastomere A"
"B1",370,"Blastomere A"
"B1",371,"Blastomere A"
"B1",370,"Blastomere A"
"B1",374,"Blastomere A"
"B1",353,"Blastomere A"
"B1",355,"Blastomere A"
"B1",369,"Blastomere A"
"B1",362,"Blastomere A"
"B1",361,"Blastomere A"
"B1",374,"Blastomere A"
"B1",361,"Blastomere A"
"B1",368,"Blastomere A"
"B1",374,"Blastomere A"
"B1",362,"Blastomere A"
"B1",374,"Blastomere A"
"B1",366,"Blastomere A"
"B1",370,"Blastomere A"
"B1",360,"Blastomere A"
"B1",359,"Blastomere A"
"B1",365,"Blastomere A"
"B1",370,"Blastomere A"
"B1",359,"Blastomere A"
"B1",378,"Blastomere A"
"B1",353,"Blastomere A"
"B1",372,"Blastomere A"
"B1",383,"Blastomere A"
"B1",367,"Blastomere A"
"B1",345,"Blastomere A"
"B1",372,"Blastomere A"
"B1",367,"Blastomere A"
"B1",376,"Blastomere A"
"B1",370,"Blastomere A"
"B1",369,"Blastomere A"
"B1",373,"Blastomere A"
"B1",371,"Blastomere A"
"B1",382,"Blastomere A"
"B1",362,"Blastomere A"
"B1",361,"Blastomere A"
"B1",376,"Blastomere A"
"B1",366,"Blastomere A"
"B1",372,"Blastomere A"
"B1",356,"Blastomere A"
"B1",357,"Blastomere A"
"B1",379,"Blastomere A"
"B1",376,"Blastomere A"
"B1",381,"Blastomere A"
"B1",363,"Blastomere A"
"B1",365,"Blastomere A"
"B1",383,"Blastomere A"
"B1",366,"Blastomere A"
"B1",367,"Blastomere A"
"B1",364,"Blastomere A"
"B1",372,"Blastomere A"
"B1",378,"Blastomere A"
"B1",379,"Blastomere A"
"B1",385,"Blastomere A"
"B1",363,"Blastomere A"
"B1",371,"Blastomere A"
"B1",363,"Blastomere A"
"B1",362,"Blastomere A"
"B1",373,"Blastomere A"
"B1",366,"Blastomere A"
"B1",373,"Blastomere A"
"B1",357,"Blastomere A"
"B1",372,"Blastomere A"
"B1",372,"Blastomere A"
"B1",377,"Blastomere A"
"B1",364,"Blastomere A"
"B1",366,"Blastomere A"
"B1",370,"Blastomere A"
"B1",370,"Blastomere A"
"B1",371,"Blastomere A"
"B1",382,"Blastomere A"
"B1",357,"Blastomere A"
"B1",367,"Blastomere A"
"B1",367,"Blastomere A"
"B1",365,"Blastomere A"
"B1",361,"Blastomere A"
"B1",365,"Blastomere A"
"B1",368,"Blastomere A"
"B1",366,"Blastomere A"
"B1",381,"Blastomere A"
"B1",369,"Blastomere A"
"B1",368,"Blastomere A"
"B1",352,"Blastomere A"
"B1",365,"Blastomere A"
"B1",358,"Blastomere A"
"B1",376,"Blastomere A"
"B1",369,"Blastomere A"
"B1",376,"Blastomere A"
"B1",373,"Blastomere A"
"B1",366,"Blastomere A"
"B1",374,"Blastomere A"
"B1",364,"Blastomere A"
"B1",376,"Blastomere A"
"B1",364,"Blastomere A"
"B1",361,"Blastomere A"
"B1",368,"Blastomere A"
"B1",374,"Blastomere A"
"B1",372,"Blastomere A"
"B1",370,"Blastomere A"
"B1",367,"Blastomere A"
"B1",358,"Blastomere A"
"B1",363,"Blastomere A"
"B1",370,"Blastomere A"
"B1",359,"Blastomere A"
"B1",372,"Blastomere A"
"B1",367,"Blastomere A"
"B1",365,"Blastomere A"
"B1",376,"Blastomere A"
"B1",366,"Blastomere A"
"B1",373,"Blastomere A"
"B1",371,"Blastomere A"
"B1",375,"Blastomere A"
"B1",364,"Blastomere A"
"B1",362,"Blastomere A"
"B1",375,"Blastomere A"
"B1",380,"Blastomere A"
"B1",375,"Blastomere A"
"B1",364,"Blastomere A"
"B1",377,"Blastomere A"
"B1",362,"Blastomere A"
"B1",373,"Blastomere A"
"B1",371,"Blastomere A"
"B1",380,"Blastomere A"
"B1",363,"Blastomere A"
"B1",369,"Blastomere A"
"B1",378,"Blastomere A"
"B1",372,"Blastomere A"
"B1",362,"Blastomere A"
"B1",366,"Blastomere A"
"B1",362,"Blastomere A"
"B1",363,"Blastomere A"
"B1",368,"Blastomere A"
"B1",355,"Blastomere A"
"B1",366,"Blastomere A"
"B1",363,"Blastomere A"
"B1",357,"Blastomere A"
"B1",367,"Blastomere A"
"B1",358,"Blastomere A"
"B1",375,"Blastomere A"
"B1",370,"Blastomere A"
"B1",387,"Blastomere A"
"B1",364,"Blastomere A"
"B1",384,"Blastomere A"
"B1",367,"Blastomere A"
"B1",370,"Blastomere A"
"B1",365,"Blastomere A"
"B1",368,"Blastomere A"
"B1",365,"Blastomere A"
"B1",372,"Blastomere A"
"B1",369,"Blastomere A"
"B1",366,"Blastomere A"
"B1",374,"Blastomere A"
"B1",359,"Blastomere A"
"B1",376,"Blastomere A"
"B1",367,"Blastomere A"
"B1",367,"Blastomere A"
"B1",361,"Blastomere A"
"B1",380,"Blastomere A"
"B1",373,"Blastomere A"
"B1",374,"Blastomere A"
"B1",365,"Blastomere A"
"B1",367,"Blastomere A"
"B1",364,"Blastomere A"
"B1",364,"Blastomere A"
"B1",369,"Blastomere A"
"B1",359,"Blastomere A"
"B1",363,"Blastomere A"
"B1",351,"Blastomere A"
"B1",368,"Blastomere A"
"B1",377,"Blastomere A"
"B1",361,"Blastomere A"
"B1",370,"Blastomere A"
"B1",372,"Blastomere A"
"B1",375,"Blastomere A"
"B1",366,"Blastomere A"
"B1",369,"Blastomere A"
"B1",369,"Blastomere A"
"B1",364,"Blastomere A"
"B1",373,"Blastomere A"
"B1",361,"Blastomere A"
"B1",371,"Blastomere A"
"B1",364,"Blastomere A"
"B1",371,"Blastomere A"
"B1",361,"Blastomere A"
"B1",374,"Blastomere A"
"B1",366,"Blastomere A"
"B1",359,"Blastomere A"
"B1",383,"Blastomere A"
"B1",368,"Blastomere A"
"B1",372,"Blastomere A"
"B1",375,"Blastomere A"
"B1",366,"Blastomere A"
"B1",371,"Blastomere A"
"B1",360,"Blastomere A"
"B1",366,"Blastomere A"
"B1",358,"Blastomere A"
"B1",375,"Blastomere A"
"B1",369,"Blastomere A"
"B1",354,"Blastomere A"
"B1",367,"Blastomere A"
"B1",394,"Blastomere A"
"B1",384,"Blastomere A"
"B1",366,"Blastomere A"
"B1",367,"Blastomere A"
"B1",377,"Blastomere A"
"B1",370,"Blastomere A"
"B1",366,"Blastomere A"
"B1",374,"Blastomere A"
"B1",369,"Blastomere A"
"B1",357,"Blastomere A"
"B1",367,"Blastomere A"
"B1",372,"Blastomere A"
"B1",361,"Blastomere A"
"B1",369,"Blastomere A"
"B1",368,"Blastomere A"
"B1",356,"Blastomere A"
"B1",357,"Blastomere A"
"B1",375,"Blastomere A"
"B1",388,"Blastomere A"
"B1",381,"Blastomere A"
"B1",376,"Blastomere A"
"B1",370,"Blastomere A"
"B1",357,"Blastomere A"
"B1",373,"Blastomere A"
"B1",371,"Blastomere A"
"B1",373,"Blastomere A"
"B1",360,"Blastomere A"
"B1",354,"Blastomere A"
"B1",374,"Blastomere A"
"B1",370,"Blastomere A"
"B1",371,"Blastomere A"
"B1",367,"Blastomere A"
"B1",371,"Blastomere A"
"B1",373,"Blastomere A"
"B1",370,"Blastomere A"
"B1",379,"Blastomere A"
"B1",375,"Blastomere A"
"B1",368,"Blastomere A"
"B1",357,"Blastomere A"
"B1",368,"Blastomere A"
"B1",369,"Blastomere A"
"B1",370,"Blastomere A"
"B1",369,"Blastomere A"
"B1",374,"Blastomere A"
"B1",368,"Blastomere A"
"B1",383,"Blastomere A"
"B1",368,"Blastomere A"
"B1",372,"Blastomere A"
"B1",373,"Blastomere A"
"B1",376,"Blastomere A"
"B1",374,"Blastomere A"
"B1",367,"Blastomere A"
"B1",360,"Blastomere A"
"B1",377,"Blastomere A"
"B1",374,"Blastomere A"
"B1",357,"Blastomere A"
"B1",352,"Blastomere A"
"B1",368,"Blastomere A"
"B1",359,"Blastomere A"
"B1",374,"Blastomere A"
"B1",360,"Blastomere A"
"B1",378,"Blastomere A"
"B1",377,"Blastomere A"
"B1",364,"Blastomere A"
"B1",360,"Blastomere A"
"B1",353,"Blastomere A"
"B1",385,"Blastomere A"
"B1",380,"Blastomere A"
"B1",368,"Blastomere A"
"B1",370,"Blastomere A"
"B1",381,"Blastomere A"
"B1",363,"Blastomere A"
"B1",362,"Blastomere A"
"B1",364,"Blastomere A"
"B1",362,"Blastomere A"
"B1",378,"Blastomere A"
"B1",366,"Blastomere A"
"B1",386,"Blastomere A"
"B1",380,"Blastomere A"
"B1",368,"Blastomere A"
"B1",369,"Blastomere A"
"B1",370,"Blastomere A"
"B1",379,"Blastomere A"
"B1",375,"Blastomere A"
"B1",356,"Blastomere A"
"B1",373,"Blastomere A"
"B1",362,"Blastomere A"
"B1",372,"Blastomere A"
"B1",361,"Blastomere A"
"B1",358,"Blastomere A"
"B1",376,"Blastomere A"
"B1",373,"Blastomere A"
"B1",358,"Blastomere A"
"B1",376,"Blastomere A"
"B1",370,"Blastomere A"
"B1",360,"Blastomere A"
"B1",366,"Blastomere A"
"B1",377,"Blastomere A"
"B1",381,"Blastomere A"
"B1",366,"Blastomere A"
"B1",381,"Blastomere A"
"B1",374,"Blastomere A"
"B1",367,"Blastomere A"
"B1",370,"Blastomere A"
"B1",370,"Blastomere A"
"B1",377,"Blastomere A"
"B1",377,"Blastomere A"
"B1",367,"Blastomere A"
"B1",391,"Blastomere A"
"B1",367,"Blastomere A"
"B1",366,"Blastomere A"
"B1",376,"Blastomere A"
"B1",368,"Blastomere A"
"B1",377,"Blastomere A"
"B1",378,"Blastomere A"
"B1",371,"Blastomere A"
"B1",383,"Blastomere A"
"B1",370,"Blastomere A"
"B1",375,"Blastomere A"
